Classifications	Treatments	etrait	Annotation for etraita	eQTL	Lead_SNPb	P-valuec	eQTL_Typed	Candidate gene in eQTL region	Annotation for candidate genea
Static distant-eQTLs	WS2	Zm00001d004260	Actin-related protein 9	2:103987156~103992752	2_103987935	2.5699999999999999E-10	D	Zm00001d004331	/
Static distant-eQTLs	WW	Zm00001d047422	[Pyruvate dehydrogenase (acetyl-transferring)] kinase mitochondrial	9:129607709~129609455	9_129607820	3.8199999999999998E-8	D	Zm00001d047423	Peptidase C15 pyroglutamyl peptidase I-like
Static distant-eQTLs	WS1	Zm00001d047422	[Pyruvate dehydrogenase (acetyl-transferring)] kinase mitochondrial	9:129607820~129609488	9_129607820	2.14E-8	D	Zm00001d047423	Peptidase C15 pyroglutamyl peptidase I-like
Static distant-eQTLs	WS2	Zm00001d047422	[Pyruvate dehydrogenase (acetyl-transferring)] kinase mitochondrial	9:129607434~129609602	9_129607822	1.2100000000000001E-12	D	Zm00001d047423	Peptidase C15 pyroglutamyl peptidase I-like
Static distant-eQTLs	WW	Zm00001d037813	Phosphoribosylaminoimidazole-succinocarboxamide synthase  	6:138176530~138189462	6_138183436	8.6800000000000005E-20	D	Zm00001d037802	/
Static distant-eQTLs	WS1	Zm00001d037813	Phosphoribosylaminoimidazole-succinocarboxamide synthase  	6:138176530~138189462	6_138183436	3.7499999999999999E-20	D	Zm00001d037802	/
Static distant-eQTLs	WS2	Zm00001d037813	Phosphoribosylaminoimidazole-succinocarboxamide synthase  	6:138176530~138189462	6_138183436	4.9600000000000001E-23	D	Zm00001d037802	/
Static distant-eQTLs	WW	Zm00001d031443	DUF2361 family protein	5:4313703~4316498	5_4316341	1.3800000000000001E-17	D	Zm00001d013072	DUF2361 family protein
Static distant-eQTLs	WS1	Zm00001d031443	DUF2361 family protein	5:4313595~4316498	5_4316341	1.6900000000000001E-16	D	Zm00001d013072	DUF2361 family protein
Static distant-eQTLs	WS2	Zm00001d031443	DUF2361 family protein	5:4313703~4316498	5_4316341	1.5200000000000001E-13	D	Zm00001d013072	DUF2361 family protein
Static distant-eQTLs	WW	Zm00001d041136	proline-rich family protein	3:97492127~97509365	3_97504570	1.8800000000000002E-15	D	Zm00001d041105	E3 ubiquitin-protein ligase UPL1
Static distant-eQTLs	WS1	Zm00001d041136	proline-rich family protein	3:97492127~97509365	3_97497564	1.2200000000000001E-13	D	Zm00001d041105	E3 ubiquitin-protein ligase UPL1
Static distant-eQTLs	WS2	Zm00001d041136	proline-rich family protein	3:97492127~97509365	3_97500302	2.26E-13	D	Zm00001d041105	E3 ubiquitin-protein ligase UPL1
Static distant-eQTLs	WW	Zm00001d009054	/	8:27723475~27723594	8_27723594	2.1299999999999999E-9	D	Zm00001d008966	Serine/threonine-protein kinase  
Static distant-eQTLs	WS1	Zm00001d009054	/	8:27723475~27723594	8_27723594	4.2399999999999998E-10	D	Zm00001d008966	Serine/threonine-protein kinase  
Static distant-eQTLs	WS2	Zm00001d009054	/	8:27722976~27723594	8_27723594	2.1799999999999999E-9	D	Zm00001d008966	Serine/threonine-protein kinase  
Static distant-eQTLs	WW	Zm00001d044713	ACT domain-containing protein ACR12	23:110153~116543	23_116343	2.4700000000000001E-13	D	Zm00001d000149	/
Static distant-eQTLs	WS1	Zm00001d044713	ACT domain-containing protein ACR12	23:112100~116453	23_116343	1.9399999999999999E-11	D	Zm00001d000149	/
Static distant-eQTLs	WS2	Zm00001d044713	ACT domain-containing protein ACR12	23:110153~116543	23_116342	5.0199999999999996E-9	D	Zm00001d000149	/
Static distant-eQTLs	WW	Zm00001d004249	Phosphatidylinositol 4-kinase alpha 1	217:20294~20542	217_20294	1.05E-12	D	/	/
Static distant-eQTLs	WS1	Zm00001d004249	Phosphatidylinositol 4-kinase alpha 1	217:20294~20542	217_20294	1.5699999999999999E-14	D	/	/
Static distant-eQTLs	WS2	Zm00001d004249	Phosphatidylinositol 4-kinase alpha 1	217:20294~20542	217_20294	1.2699999999999999E-13	D	/	/
Static distant-eQTLs	WW	Zm00001d007564	Probable ATP synthase 24 kDa subunit mitochondrial	3:100310082~100310154	3_100310082	4.0700000000000003E-15	D	Zm00001d041144	Probable ATP synthase 24 kDa subunit mitochondrial
Static distant-eQTLs	WS1	Zm00001d007564	Probable ATP synthase 24 kDa subunit mitochondrial	3:100310082~100310154	3_100310082	1.03E-13	D	Zm00001d041144	Probable ATP synthase 24 kDa subunit mitochondrial
Static distant-eQTLs	WS2	Zm00001d007564	Probable ATP synthase 24 kDa subunit mitochondrial	3:100310082~100310154	3_100310139	1.2099999999999999E-18	D	Zm00001d041144	Probable ATP synthase 24 kDa subunit mitochondrial
Static distant-eQTLs	WW	Zm00001d038935	Vacuolar protein-sorting-associated protein 37 homolog 1	1:18451733~18472051	1_18460398	5.2200000000000003E-17	D	Zm00001d027962,Zm00001d027963	"Vacuolar protein-sorting-associated protein 37 homolog 1,\Intron maturase type II family protein\"""""
Static distant-eQTLs	WS1	Zm00001d038935	Vacuolar protein-sorting-associated protein 37 homolog 1	1:18451733~18466858	1_18460158	4.2700000000000004E-15	D	Zm00001d027962,Zm00001d027963	"Vacuolar protein-sorting-associated protein 37 homolog 1,\Intron maturase type II family protein\"""""
Static distant-eQTLs	WS2	Zm00001d038935	Vacuolar protein-sorting-associated protein 37 homolog 1	1:18451733~18472051	1_18462419	6.6000000000000003E-18	D	Zm00001d027962,Zm00001d027963	"Vacuolar protein-sorting-associated protein 37 homolog 1,\Intron maturase type II family protein\"""""
Static distant-eQTLs	WW	Zm00001d045812	/	9:40483938~40499068	9_40484796	4.5599999999999999E-15	D	Zm00001d045808	WW domain-containing protein
Static distant-eQTLs	WS1	Zm00001d045812	/	9:40484752~40499068	9_40494577	2.1200000000000001E-15	D	Zm00001d045808	WW domain-containing protein
Static distant-eQTLs	WS2	Zm00001d045812	/	9:40484587~40497647	9_40484796	9.7400000000000005E-16	D	Zm00001d045808	WW domain-containing protein
Static distant-eQTLs	WW	Zm00001d001425	/	6:131897259~131907737	6_131897259	2.29E-8	D	Zm00001d037616,Zm00001d037617	"Tetratricopeptide repeat (TPR)-like superfamily protein,\Hypoxanthine-guanine phosphoribosyltransferase\"""""
Static distant-eQTLs	WS1	Zm00001d001425	/	6:131897259~131907737	6_131897259	9.8100000000000002E-11	D	Zm00001d037616,Zm00001d037617	"Tetratricopeptide repeat (TPR)-like superfamily protein,\Hypoxanthine-guanine phosphoribosyltransferase\"""""
Static distant-eQTLs	WS2	Zm00001d001425	/	6:131897259~131907737	6_131905779	1.12E-7	D	Zm00001d037616,Zm00001d037617	"Tetratricopeptide repeat (TPR)-like superfamily protein,\Hypoxanthine-guanine phosphoribosyltransferase\"""""
Static distant-eQTLs	WW	Zm00001d001240	/	3:194028628~194033822	3_194032056	1.3500000000000001E-17	D	Zm00001d043274	Insulin-degrading enzyme-like 1 peroxisomal
Static distant-eQTLs	WS1	Zm00001d001240	/	3:194028628~194033822	3_194032056	2.7699999999999999E-18	D	Zm00001d043274	Insulin-degrading enzyme-like 1 peroxisomal
Static distant-eQTLs	WS2	Zm00001d001240	/	3:194028628~194033822	3_194032056	1.16E-18	D	Zm00001d043274	Insulin-degrading enzyme-like 1 peroxisomal
Static distant-eQTLs	WW	Zm00001d011414	DNAJ heat shock N-terminal domain-containing protein	6:166305836~166308671	6_166306164	2.9700000000000001E-15	D	Zm00001d038879	DNAJ heat shock N-terminal domain-containing protein
Static distant-eQTLs	WS1	Zm00001d011414	DNAJ heat shock N-terminal domain-containing protein	6:166305836~166308687	6_166306164	1.3999999999999999E-17	D	Zm00001d038879	DNAJ heat shock N-terminal domain-containing protein
Static distant-eQTLs	WS2	Zm00001d011414	DNAJ heat shock N-terminal domain-containing protein	6:166305836~166309203	6_166306859	1.3E-18	D	Zm00001d038879	DNAJ heat shock N-terminal domain-containing protein
Static distant-eQTLs	WW	Zm00001d024667	Germacrene A synthase long form	10:82923751~82925527	10_82923871	5.6000000000000001E-14	D	Zm00001d024669	Alpha-humulene/(-)-(E)-beta-caryophyllene synthase
Static distant-eQTLs	WS1	Zm00001d024667	Germacrene A synthase long form	10:82923751~82925527	10_82924571	4.68E-14	D	Zm00001d024669	Alpha-humulene/(-)-(E)-beta-caryophyllene synthase
Static distant-eQTLs	WS2	Zm00001d024667	Germacrene A synthase long form	10:82923751~82925527	10_82924214	1.0700000000000001E-18	D	Zm00001d024669	Alpha-humulene/(-)-(E)-beta-caryophyllene synthase
Static distant-eQTLs	WW	Zm00001d009396	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	8:61379923~61384565	8_61384323	7.4099999999999997E-22	D	Zm00001d009382	Late embryogeneis abundant protein Lea14-A%3B Late embryogenesis abundant protein Lea14-A  
Static distant-eQTLs	WS1	Zm00001d009396	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	8:61379923~61384565	8_61384323	1.02E-20	D	Zm00001d009382	Late embryogeneis abundant protein Lea14-A%3B Late embryogenesis abundant protein Lea14-A  
Static distant-eQTLs	WS2	Zm00001d009396	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	8:61379923~61384565	8_61383607	1.5400000000000001E-17	D	Zm00001d009382	Late embryogeneis abundant protein Lea14-A%3B Late embryogenesis abundant protein Lea14-A  
Static distant-eQTLs	WW	Zm00001d045891	/	5:214789617~214792036	5_214792036	4.4500000000000002E-13	D	Zm00001d018127	SNW/SKI-interacting protein
Static distant-eQTLs	WS1	Zm00001d045891	/	5:214789688~214792036	5_214792036	1.7500000000000001E-17	D	Zm00001d018127	SNW/SKI-interacting protein
Static distant-eQTLs	WS2	Zm00001d045891	/	5:214789735~214792686	5_214792036	3.4899999999999999E-15	D	Zm00001d018127	SNW/SKI-interacting protein
Static distant-eQTLs	WW	Zm00001d050310	Homeodomain leucine zipper protein CPHB-5%3B Putative homeobox DNA-binding and leucine zipper domain family protein  	4:81113127~81117914	4_81115535	9.859999999999999E-10	D	Zm00001d050318,Zm00001d050319	"/,\Protein CHAPERONE-LIKE PROTEIN OF POR1 chloroplastic\"""""
Static distant-eQTLs	WS1	Zm00001d050310	Homeodomain leucine zipper protein CPHB-5%3B Putative homeobox DNA-binding and leucine zipper domain family protein  	4:81113127~81117914	4_81117645	6.5700000000000003E-11	D	Zm00001d050318,Zm00001d050319	"/,\Protein CHAPERONE-LIKE PROTEIN OF POR1 chloroplastic\"""""
Static distant-eQTLs	WS2	Zm00001d050310	Homeodomain leucine zipper protein CPHB-5%3B Putative homeobox DNA-binding and leucine zipper domain family protein  	4:81114002~81117914	4_81115535	2.1999999999999998E-9	D	Zm00001d050318,Zm00001d050319	"/,\Protein CHAPERONE-LIKE PROTEIN OF POR1 chloroplastic\"""""
Static distant-eQTLs	WW	Zm00001d005080	 multidrug and toxic compound extrusion5	2:172201760~172204339	2_172204339	9.2599999999999996E-11	D	Zm00001d005394	Fiber protein Fb34
Static distant-eQTLs	WS1	Zm00001d005080	 multidrug and toxic compound extrusion5	2:172201760~172204339	2_172201762	2.25E-8	D	Zm00001d005394	Fiber protein Fb34
Static distant-eQTLs	WS2	Zm00001d005080	 multidrug and toxic compound extrusion5	2:172201760~172204339	2_172201760	4.4400000000000002E-10	D	Zm00001d005394	Fiber protein Fb34
Static distant-eQTLs	WW	Zm00001d041136	proline-rich family protein	3:109763640~109777381	3_109763640	1.5700000000000001E-11	D	Zm00001d041277	Putative axial regulator YABBY 2
Static distant-eQTLs	WS1	Zm00001d041136	proline-rich family protein	3:109763640~109777381	3_109768550	1.71E-10	D	Zm00001d041277	Putative axial regulator YABBY 2
Static distant-eQTLs	WS2	Zm00001d041136	proline-rich family protein	3:109763640~109777381	3_109763640	2.1900000000000002E-12	D	Zm00001d041277	Putative axial regulator YABBY 2
Static distant-eQTLs	WW	Zm00001d053305	Steroid nuclear receptor ligand-binding	2:38258168~38272807	2_38269460	2.2599999999999999E-18	D	Zm00001d003261,Zm00001d003262	"/,\Steroid nuclear receptor ligand-binding\"""""
Static distant-eQTLs	WS1	Zm00001d053305	Steroid nuclear receptor ligand-binding	2:38258168~38272807	2_38269460	1.1399999999999999E-18	D	Zm00001d003261,Zm00001d003262	"/,\Steroid nuclear receptor ligand-binding\"""""
Static distant-eQTLs	WS2	Zm00001d053305	Steroid nuclear receptor ligand-binding	2:38258168~38272809	2_38269383	1.45E-19	D	Zm00001d003261,Zm00001d003262	"/,\Steroid nuclear receptor ligand-binding\"""""
Static distant-eQTLs	WW	Zm00001d001548	/	5:54405297~54422110	5_54420152	1.6500000000000001E-7	D	Zm00001d014583,Zm00001d014585,Zm00001d014584	"Protein kinase superfamily protein,\Cytoplasmic 60S subunit biogenesis factor REI1 homolog 1\"",\""Replication protein A 32 kDa subunit A\"""""
Static distant-eQTLs	WS1	Zm00001d001548	/	5:54406424~54422110	5_54418866	1.3199999999999999E-7	D	Zm00001d014583,Zm00001d014585,Zm00001d014584	"Protein kinase superfamily protein,\Cytoplasmic 60S subunit biogenesis factor REI1 homolog 1\"",\""Replication protein A 32 kDa subunit A\"""""
Static distant-eQTLs	WS2	Zm00001d001548	/	5:54406424~54422110	5_54418866	3.8200000000000001E-7	D	Zm00001d014583,Zm00001d014585,Zm00001d014584	"Protein kinase superfamily protein,\Cytoplasmic 60S subunit biogenesis factor REI1 homolog 1\"",\""Replication protein A 32 kDa subunit A\"""""
Static distant-eQTLs	WW	Zm00001d032896	50S ribosomal protein L28  	1:241512250~241523039	1_241515476	1.2199999999999999E-10	D	Zm00001d032887,Zm00001d032888,Zm00001d032889	"Protein binding protein  ,\Anther-specific proline-rich protein APG  \"",\""F-box domain containing protein  \"""""
Static distant-eQTLs	WS1	Zm00001d032896	50S ribosomal protein L28  	1:241512096~241523039	1_241515476	3.9000000000000001E-11	D	Zm00001d032887,Zm00001d032888,Zm00001d032889	"Protein binding protein  ,\Anther-specific proline-rich protein APG  \"",\""F-box domain containing protein  \"""""
Static distant-eQTLs	WS2	Zm00001d032896	50S ribosomal protein L28  	1:241512096~241523039	1_241521517	9.3500000000000003E-12	D	Zm00001d032887,Zm00001d032888,Zm00001d032889	"Protein binding protein  ,\Anther-specific proline-rich protein APG  \"",\""F-box domain containing protein  \"""""
Static distant-eQTLs	WW	Zm00001d030213	Protein kinase  	1:114509031~114513909	1_114509031	1.36E-7	D	Zm00001d030229	CCT motif family protein
Static distant-eQTLs	WS1	Zm00001d030213	Protein kinase  	1:114509031~114513909	1_114509031	1.4700000000000001E-7	D	Zm00001d030229	CCT motif family protein
Static distant-eQTLs	WS2	Zm00001d030213	Protein kinase  	1:114509031~114513909	1_114509031	4.82E-7	D	Zm00001d030229	CCT motif family protein
Static distant-eQTLs	WW	Zm00001d009509	60S ribosomal protein L37a  	8:39524398~39524590	8_39524398	1.01E-7	D	Zm00001d009146	S-adenosylmethionine synthase  
Static distant-eQTLs	WS1	Zm00001d009509	60S ribosomal protein L37a  	8:39524398~39525244	8_39524498	1.72E-10	D	Zm00001d009146	S-adenosylmethionine synthase  
Static distant-eQTLs	WS2	Zm00001d009509	60S ribosomal protein L37a  	8:39524398~39524828	8_39524498	1.2799999999999999E-9	D	Zm00001d009146	S-adenosylmethionine synthase  
Static distant-eQTLs	WW	Zm00001d003969	Bifunctional D-cysteine desulfhydrase/1- aminocyclopropane-1-carboxylate deaminase mitochondrial	5:217044167~217048617	5_217046906	2.7900000000000002E-18	D	Zm00001d018229,Zm00001d018230	"Adenine nucleotide alpha hydrolases-like superfamily protein,\Bifunctional D-cysteine desulfhydrase/1- aminocyclopropane-1-carboxylate deaminase mitochondrial\"""""
Static distant-eQTLs	WS1	Zm00001d003969	Bifunctional D-cysteine desulfhydrase/1- aminocyclopropane-1-carboxylate deaminase mitochondrial	5:217044185~217048617	5_217046906	8.9400000000000002E-19	D	Zm00001d018229,Zm00001d018230	"Adenine nucleotide alpha hydrolases-like superfamily protein,\Bifunctional D-cysteine desulfhydrase/1- aminocyclopropane-1-carboxylate deaminase mitochondrial\"""""
Static distant-eQTLs	WS2	Zm00001d003969	Bifunctional D-cysteine desulfhydrase/1- aminocyclopropane-1-carboxylate deaminase mitochondrial	5:217044925~217048617	5_217046906	9.5200000000000002E-19	D	Zm00001d018229,Zm00001d018230	"Adenine nucleotide alpha hydrolases-like superfamily protein,\Bifunctional D-cysteine desulfhydrase/1- aminocyclopropane-1-carboxylate deaminase mitochondrial\"""""
Static distant-eQTLs	WW	Zm00001d035401	Putative DUF26-domain receptor-like protein kinase family protein  	6:16089895~16093235	6_16092516	8.4499999999999998E-10	D	Zm00001d035235	Protein cornichon homolog 1
Static distant-eQTLs	WS1	Zm00001d035401	Putative DUF26-domain receptor-like protein kinase family protein  	6:16089617~16094829	6_16092516	2.1299999999999999E-9	D	Zm00001d035235	Protein cornichon homolog 1
Static distant-eQTLs	WS2	Zm00001d035401	Putative DUF26-domain receptor-like protein kinase family protein  	6:16089895~16093235	6_16092272	1.3E-7	D	Zm00001d035235	Protein cornichon homolog 1
Static distant-eQTLs	WW	Zm00001d020666	 multidrug resistance associated protein2	7:127264796~127268496	7_127264796	6.0199999999999998E-14	D	Zm00001d020664	Gamma-tubulin complex component 3
Static distant-eQTLs	WS1	Zm00001d020666	 multidrug resistance associated protein2	7:127264796~127271020	7_127264796	4.0399999999999997E-12	D	Zm00001d020664	Gamma-tubulin complex component 3
Static distant-eQTLs	WS2	Zm00001d020666	 multidrug resistance associated protein2	7:127264796~127271020	7_127264796	2.97E-13	D	Zm00001d020664	Gamma-tubulin complex component 3
Static distant-eQTLs	WW	Zm00001d030064	/	1:102354442~102363208	1_102363076	4.0599999999999999E-10	D	Zm00001d030053	AT-hook motif nuclear-localized protein 13
Static distant-eQTLs	WS1	Zm00001d030064	/	1:102360512~102363555	1_102363076	8.76E-14	D	Zm00001d030053	AT-hook motif nuclear-localized protein 13
Static distant-eQTLs	WS2	Zm00001d030064	/	1:102359870~102363555	1_102363076	7.9099999999999996E-10	D	Zm00001d030053	AT-hook motif nuclear-localized protein 13
Static distant-eQTLs	WW	Zm00001d019182	Eukaryotic translation initiation factor 3 subunit E  	7:132449447~132453660	7_132453626	2.3199999999999998E-9	D	Zm00001d020781	Purine permease 3
Static distant-eQTLs	WS1	Zm00001d019182	Eukaryotic translation initiation factor 3 subunit E  	7:132453526~132453660	7_132453626	2.4500000000000001E-8	D	Zm00001d020781	Purine permease 3
Static distant-eQTLs	WS2	Zm00001d019182	Eukaryotic translation initiation factor 3 subunit E  	7:132449447~132455879	7_132453526	8.7399999999999992E-9	D	Zm00001d020781	Purine permease 3
Static distant-eQTLs	WW	Zm00001d019613	Probable O-methyltransferase 2	7:47061959~47065793	7_47063857	3.0800000000000002E-19	D	Zm00001d019631	Potassium transporter 10
Static distant-eQTLs	WS1	Zm00001d019613	Probable O-methyltransferase 2	7:47059805~47065793	7_47063857	6.2399999999999998E-16	D	Zm00001d019631	Potassium transporter 10
Static distant-eQTLs	WS2	Zm00001d019613	Probable O-methyltransferase 2	7:47059805~47063857	7_47063857	1.7599999999999999E-18	D	Zm00001d019631	Potassium transporter 10
Static distant-eQTLs	WW	Zm00001d015886	26S protease regulatory subunit 6B homolog	5:128733431~128736587	5_128734950	7.0500000000000005E-10	D	Zm00001d015884	Protein kinase  
Static distant-eQTLs	WS1	Zm00001d015886	26S protease regulatory subunit 6B homolog	5:128733431~128736587	5_128734768	3.4999999999999999E-9	D	Zm00001d015884	Protein kinase  
Static distant-eQTLs	WS2	Zm00001d015886	26S protease regulatory subunit 6B homolog	5:128733431~128736587	5_128734471	1.2200000000000001E-7	D	Zm00001d015884	Protein kinase  
Static distant-eQTLs	WW	Zm00001d015857	40S ribosomal protein S4-3	4:2432857~2433975	4_2433750	5.8800000000000004E-9	D	Zm00001d048637	Disease resistance RPP13-like protein 4
Static distant-eQTLs	WS1	Zm00001d015857	40S ribosomal protein S4-3	4:2432005~2436666	4_2433975	4.7600000000000001E-9	D	Zm00001d048637	Disease resistance RPP13-like protein 4
Static distant-eQTLs	WS2	Zm00001d015857	40S ribosomal protein S4-3	4:2432052~2436666	4_2433004	1.5600000000000001E-8	D	Zm00001d048637	Disease resistance RPP13-like protein 4
Static distant-eQTLs	WW	Zm00001d009726	alpha/beta-Hydrolases superfamily protein	8:83443973~83449192	8_83444797	4.2800000000000002E-10	D	Zm00001d009820	/
Static distant-eQTLs	WS1	Zm00001d009726	alpha/beta-Hydrolases superfamily protein	8:83443973~83449205	8_83444847	2.0400000000000002E-12	D	Zm00001d009820	/
Static distant-eQTLs	WS2	Zm00001d009726	alpha/beta-Hydrolases superfamily protein	8:83443973~83449192	8_83444797	1.15E-10	D	Zm00001d009820	/
Static distant-eQTLs	WW	Zm00001d015976	Probable lactoylglutathione lyase chloroplastic	5:139215244~139218366	5_139215244	1.4E-8	D	/	/
Static distant-eQTLs	WS1	Zm00001d015976	Probable lactoylglutathione lyase chloroplastic	5:139215244~139218366	5_139215244	7.4499999999999999E-8	D	/	/
Static distant-eQTLs	WS2	Zm00001d015976	Probable lactoylglutathione lyase chloroplastic	5:139215244~139218366	5_139217497	3.1100000000000001E-8	D	/	/
Static distant-eQTLs	WW	Zm00001d030726	/	10:37876054~37880774	10_37880348	1.61E-9	D	Zm00001d024027	 proline rich cell wall protein1
Static distant-eQTLs	WS1	Zm00001d030726	/	10:37874497~37885383	10_37880348	5.8800000000000004E-9	D	Zm00001d024027	 proline rich cell wall protein1
Static distant-eQTLs	WS2	Zm00001d030726	/	10:37874497~37885383	10_37878756	4.6699999999999998E-11	D	Zm00001d024027	 proline rich cell wall protein1
Static distant-eQTLs	WW	Zm00001d016552	ubiquitin-associated (UBA)/TS-N domain-containing protein	142:9978~12333	142_10758	2.3999999999999998E-7	D	Zm00001d000403	Protein binding protein  
Static distant-eQTLs	WS1	Zm00001d016552	ubiquitin-associated (UBA)/TS-N domain-containing protein	142:10758~12333	142_11339	1.6000000000000001E-8	D	Zm00001d000403	Protein binding protein  
Static distant-eQTLs	WS2	Zm00001d016552	ubiquitin-associated (UBA)/TS-N domain-containing protein	142:10406~11428	142_10596	6.4599999999999996E-9	D	Zm00001d000403	Protein binding protein  
Static distant-eQTLs	WW	Zm00001d053101	/	4:213811803~213821418	4_213817934	2.3099999999999998E-8	D	Zm00001d053102	Tubulin alpha-6 chain  
Static distant-eQTLs	WS1	Zm00001d053101	/	4:213811803~213819265	4_213811803	1.26E-8	D	Zm00001d053102	Tubulin alpha-6 chain  
Static distant-eQTLs	WS2	Zm00001d053101	/	4:213811778~213819265	4_213811778	8.4599999999999993E-9	D	Zm00001d053102	Tubulin alpha-6 chain  
Static distant-eQTLs	WW	Zm00001d029580	3-oxo-Delta(45)-steroid 5-beta-reductase	1:77812467~77815187	1_77814098	7.0999999999999995E-17	D	Zm00001d029582	3-oxo-Delta(45)-steroid 5-beta-reductase
Static distant-eQTLs	WS1	Zm00001d029580	3-oxo-Delta(45)-steroid 5-beta-reductase	1:77812467~77815025	1_77814098	4.3399999999999997E-12	D	Zm00001d029582	3-oxo-Delta(45)-steroid 5-beta-reductase
Static distant-eQTLs	WS2	Zm00001d029580	3-oxo-Delta(45)-steroid 5-beta-reductase	1:77812467~77815187	1_77814098	4.2900000000000002E-10	D	Zm00001d029582	3-oxo-Delta(45)-steroid 5-beta-reductase
Static distant-eQTLs	WW	Zm00001d036551	Transcription factor MYB104	113:64025~66292	113_66292	3.2600000000000002E-13	D	/	/
Static distant-eQTLs	WS1	Zm00001d036551	Transcription factor MYB104	113:64025~66292	113_66292	7.0500000000000001E-12	D	/	/
Static distant-eQTLs	WS2	Zm00001d036551	Transcription factor MYB104	113:64025~66292	113_65532	5.4000000000000002E-13	D	/	/
Static distant-eQTLs	WW	Zm00001d004260	Actin-related protein 9	2:102854123~102855976	2_102854123	4.3299999999999997E-8	D	/	/
Static distant-eQTLs	WS1	Zm00001d004260	Actin-related protein 9	2:102854123~102855976	2_102854123	4.0200000000000001E-11	D	/	/
Static distant-eQTLs	WS2	Zm00001d004260	Actin-related protein 9	2:102854123~102855976	2_102855289	2.21E-9	D	/	/
Static distant-eQTLs	WW	Zm00001d015685	12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4	1:243293313~243300234	1_243298895	9.3199999999999997E-18	D	Zm00001d032925	12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4
Static distant-eQTLs	WS1	Zm00001d015685	12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4	1:243293313~243300234	1_243298895	7.1899999999999995E-17	D	Zm00001d032925	12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4
Static distant-eQTLs	WS2	Zm00001d015685	12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4	1:243293313~243300234	1_243298562	4.7500000000000003E-16	D	Zm00001d032925	12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4
Static distant-eQTLs	WW	Zm00001d030154	/	1:107994969~107997005	1_107995429	2.96E-8	D	Zm00001d030130	LrgB-like family protein  
Static distant-eQTLs	WS1	Zm00001d030154	/	1:107996631~107997005	1_107997005	2.41E-7	D	Zm00001d030130	LrgB-like family protein  
Static distant-eQTLs	WS2	Zm00001d030154	/	1:107993916~108001983	1_107993916	7.7000000000000001E-8	D	Zm00001d030130	LrgB-like family protein  
Static distant-eQTLs	WW	Zm00001d023792	Phosphoglucan water dikinase chloroplastic	10:20379889~20380272	10_20380272	1.3399999999999999E-12	D	/	/
Static distant-eQTLs	WS1	Zm00001d023792	Phosphoglucan water dikinase chloroplastic	10:20379889~20380272	10_20380272	1.5599999999999999E-13	D	/	/
Static distant-eQTLs	WS2	Zm00001d023792	Phosphoglucan water dikinase chloroplastic	10:20379889~20380272	10_20380272	9.8400000000000005E-15	D	/	/
Static distant-eQTLs	WW	Zm00001d020289	Thioredoxin superfamily protein	2:202837148~202839974	2_202837148	1.09E-9	D	Zm00001d006249	SNARE-like superfamily protein
Static distant-eQTLs	WS1	Zm00001d020289	Thioredoxin superfamily protein	2:202837148~202839974	2_202839720	2.3800000000000001E-10	D	Zm00001d006249	SNARE-like superfamily protein
Static distant-eQTLs	WS2	Zm00001d020289	Thioredoxin superfamily protein	2:202837148~202839974	2_202837148	1.09E-10	D	Zm00001d006249	SNARE-like superfamily protein
Static distant-eQTLs	WW	Zm00001d021981	Peptidase M20/M25/M40 family protein	6:114577416~114578520	6_114578470	5.35E-18	D	Zm00001d037164	Peptidase M20/M25/M40 family protein
Static distant-eQTLs	WS1	Zm00001d021981	Peptidase M20/M25/M40 family protein	6:114577524~114578470	6_114578470	1.12E-18	D	Zm00001d037164	Peptidase M20/M25/M40 family protein
Static distant-eQTLs	WS2	Zm00001d021981	Peptidase M20/M25/M40 family protein	6:114577416~114578755	6_114578470	1.85E-19	D	Zm00001d037164	Peptidase M20/M25/M40 family protein
Static distant-eQTLs	WW	Zm00001d024028	 blue fluorescent2	2:42790209~42797025	2_42793581	5.2699999999999998E-13	D	Zm00001d003395	 anthranilate synthase homolog1
Static distant-eQTLs	WS1	Zm00001d024028	 blue fluorescent2	2:42789526~42797025	2_42793696	1.23E-12	D	Zm00001d003395	 anthranilate synthase homolog1
Static distant-eQTLs	WS2	Zm00001d024028	 blue fluorescent2	2:42789526~42797025	2_42793581	1.7100000000000001E-9	D	Zm00001d003395	 anthranilate synthase homolog1
Static distant-eQTLs	WW	Zm00001d035416	Pentatricopeptide repeat-containing protein 	6:15530118~15536973	6_15535118	5.9299999999999997E-16	D	Zm00001d035228,Zm00001d035229	"Methyl-CpG-binding domain protein 4-like protein,\Methyl-CpG-binding domain protein 4-like protein\"""""
